case_id,Authority,Betrayal,Care,Degradation,Fairness,Freedom,GEOID,Harm,Injustice,Loyalty,Oppression,Purity,Subversion,for_sah,is_vivid,retweet_count,screen_name,text,user_id,month,day,year,sentiment_score
1000,1,0,0,0,0,0,24033,0,0,0,0,0,0,1,1,0.0,scargregjim,"This is how we follow the ""stay at home"" directive, we will be taking less walks and doing more running like the wind in the backyard! Also,  stay yo ass at home.

#stayhome #marylandstayhome #backyardhangs #Jamesonlepup https://t.co/r9hNlHO3z6",17315710,3,30,2020,-0.2532
1001,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,providencecity_,"@MdotSLB @_Timo1 @_JamesLouis_ @mariana_maz94 @amadoit__ @TavaresCarolyn Good to hear! Of course  

Exactly, lets stay healthy and help anyone we can in anyone we can. For most thats us staying out of the way at home if possible.",700519010681675776,3,30,2020,0.8221
1003,1,0,1,0,0,0,36007,0,0,0,0,0,0,1,0,0.0,D_NorthTV,"Stay at home to stop the spread. @fredakshar is encouraging @NYGovCuomo to remind ALL New York residents to abide by these declarations, unless youre an essential worker. More tonight on @SPECNewsCNY https://t.co/2oMbHKpe9D",371557998,3,31,2020,0.296
1009,1,0,0,0,0,0,53053,0,0,0,0,0,0,1,0,0.0,seanmh7219,@Q13FOX WHAT THE FUCK IS WRONG WITH PEOPLE?!?!? STAY THE FUCK HOME!! HOW MANY TIMES DO YOU NEED TO BE TOLD? ARE YOU ALL CHILDREN THAT CAN'T LISTEN?!?,1206080233,3,31,2020,-0.9221
1011,0,0,1,0,0,0,36047,0,0,0,0,0,0,1,0,1.0,BetaNYC,ESB is telling you to stay home. Stay safe friends and neighbors. #c19nyc https://t.co/zb6Mq3GJfK,46654180,3,31,2020,0.7184
1016,0,0,0,0,0,0,12099,1,0,0,0,0,0,1,0,1.0,meginmotion,"me, getting ready for bed knowing tomorrow is going to be more of the same because people aren't keeping their covid spreading asses at home https://t.co/isAubmklTv",62196644,3,31,2020,0.3612
102,0,0,1,0,0,0,44007,0,0,0,0,0,0,1,0,0.0,likahan11,"I pledge to stay out of public spaces for two weeks. I understand the impact of #SocialDistancing and I pledge to save lives by staying home. I am sending this to you because I care about your health, and the health of those are you. Please continue the pledge tree. Thoughts?",1463675677,3,15,2020,0.8271
1021,0,0,1,0,0,0,6075,0,0,0,0,1,0,1,0,0.0,lemonadekicks,bro im sure god will forgive u if u stay home from church for a few weeks to protect yourself and others from a virus,1099436482136133632,3,31,2020,0.7964
1025,0,0,1,0,0,0,25015,0,0,0,0,0,0,1,1,0.0,sueboohunt,We are prohibited from posting anything about our hospital with regards to our coronavirus situation. So Ill just say this - we will do everything possible to save your life if you get sick. Please do everything possible to stay home until April 30th. Shits about to get real.,772918789,3,31,2020,-0.6722
103,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1.0,Sfulk13,Cmon KC we have to do better!!Too many people are going about life as if there is nothing going on! We have to practice social distancing! Stay home if you can. Stop being so selfish! It isnt that much of a sacrifice. We can do it! https://t.co/H92pdGcbWb,485380145,3,15,2020,-0.7757
1030,0,0,1,0,0,0,35061,0,0,0,0,0,0,1,0,0.0,MARbobo7,"When are people gonna get it?! This is not about politics, its about saving lives and stopping the spread!! I want my normalcy back but its not going to happen if people dont stay home!!! #Corinnavirus #LetsFightCovid19 #SocialDistancing",29590077,3,31,2020,-0.3222
1032,1,0,1,0,0,0,6067,0,0,0,0,0,0,1,0,0.0,mendozadino,"@SenImeeMarcos 3/30 9PM - ONLINE ROSARY &amp; DM CHAPLET PRAYER WARRIORS GROUP. THANK YOU TO ALL FRONTLINERS, HEALTH WORKERS, KEEPING US ALL SAFE AND HEALTHY PHYSICALLY AND SPIRITUALLY. HEALTHCARE urging us to stay home: they stay at work for us, please stay home for them https://t.co/u7d99S6wGB",172471790,3,31,2020,0.9118
1033,0,0,0,0,0,0,6025,1,0,0,0,0,0,1,0,11.0,dulce12500,the valley now has 33 cases thats what happens when you choose to party and not social distance just stay home,2554085965,3,31,2020,0.4019
1034,0,0,1,0,0,0,34031,0,0,0,0,0,0,1,0,0.0,stunnamattt,The faster yah go tf in the house and stay their the faster we could come out this aint no joke STAY HOME,946151615119216644,3,31,2020,0.1673
1035,0,0,0,0,0,0,6077,1,0,0,0,0,0,1,0,1.0,frisbie_EvAn,Stay the fuck home or were all gonna die of COVID-19 https://t.co/nOfs5xSLoD,4170140773,3,31,2020,-0.8126
104,0,0,1,0,0,0,27053,0,0,0,0,0,0,1,0,0.0,mischasmom,"This  is  why  you  should stay  home  
dont be case 31
https://t.co/EB6TkAOxLU",36917361,3,15,2020,0.0
1041,0,0,1,0,0,0,36005,0,0,0,0,0,0,1,0,0.0,Israelmarrero10,Nicely done guy's. Because we all have to thanks all those medical staff. Who are putting their life on the front line. To save us all. From this deadly disease coronavirus. And you guy's keep stay home so we can keep saving lives. God bless America our home sweet home.  https://t.co/4WyvDVghOc,1236636649221734407,3,31,2020,0.9423
1042,0,0,1,0,0,0,24031,0,0,1,0,0,0,1,0,0.0,TheCaroLove,Stuck at home? No. SAFE at home. Thank you @govlarryhogan for taking COVID-19 so seriously.    #maryland #marylandstrong #wereallinthistogether #saferathome #safeathome #stayhome #staysafe #stayhealthy @ https://t.co/JlbfIrccAZ,2290053980,3,31,2020,0.4389
1043,0,0,1,0,0,0,24510,0,0,0,0,0,0,1,0,0.0,chaz_hong,"Maryland has responded early to #COVID19 to #FlattenTheCurve &amp; we now have Stay at Home order. This has been painful, but we hope acting early &amp; strong will pay dividends in lives saved &amp; faster economic recovery. @GovLarryHogan @UMMC https://t.co/OGOzjw1iRB",1029548311953465344,3,31,2020,0.8873
