,case_id,Authority,Betrayal,Care,Degradation,Fairness,Freedom,GEOID,Harm,Injustice,Loyalty,Oppression,Purity,Subversion,for_sah,is_vivid,retweet_count,screen_name,text,user_id,month,day,year,clf_unemploy_pct,cvap,demgov,female_pct,lesscollege_pct,lesshs_pct,mask_score,median_hh_inc,net_dem_gov_votes,net_dem_president_votes,parent,repgov,ruralurban_cc,urm_pct,is_blue,deaths,cases
0,1000,1,0,0,0,0,0,24033,0,0,0,0,0,0,1,1,0.0,scargregjim,"This is how we follow the ""stay at home"" directive, we will be taking less walks and doing more running like the wind in the backyard! Also,  stay yo ass at home.

#stayhome #marylandstayhome #backyardhangs #Jamesonlepup https://t.co/r9hNlHO3z6",17315710,3,30,2020,6.0,9.0,8.0,9.0,1.0,5.0,8.0,9.0,9.0,9.0,2404,7.0,1.0,9.0,1.0,6.0,294.0
2,1003,1,0,1,0,0,0,36007,0,0,0,0,0,0,1,0,0.0,D_NorthTV,"Stay at home to stop the spread. @fredakshar is encouraging @NYGovCuomo to remind ALL New York residents to abide by these declarations, unless youre an essential worker. More tonight on @SPECNewsCNY https://t.co/2oMbHKpe9D",371557998,3,31,2020,5.0,9.0,8.0,6.0,1.0,2.0,9.0,5.0,9.0,6.0,3622,7.0,2.0,4.0,0.0,3.0,38.0
3,1009,1,0,0,0,0,0,53053,0,0,0,0,0,0,1,0,0.0,seanmh7219,@Q13FOX WHAT THE FUCK IS WRONG WITH PEOPLE?!?!? STAY THE FUCK HOME!! HOW MANY TIMES DO YOU NEED TO BE TOLD? ARE YOU ALL CHILDREN THAT CAN'T LISTEN?!?,1206080233,3,31,2020,6.0,9.0,8.0,4.0,2.0,2.0,7.0,8.0,8.0,9.0,5310,8.0,1.0,6.0,1.0,6.0,377.0
4,1011,0,0,1,0,0,0,36047,0,0,0,0,0,0,1,0,1.0,BetaNYC,ESB is telling you to stay home. Stay safe friends and neighbors. #c19nyc https://t.co/zb6Mq3GJfK,46654180,3,31,2020,7.0,9.0,8.0,9.0,0.0,8.0,8.0,6.0,9.0,9.0,3609,8.0,1.0,9.0,1.0,662.0,11917.0
5,1016,0,0,0,0,0,0,12099,1,0,0,0,0,0,1,0,1.0,meginmotion,"me, getting ready for bed knowing tomorrow is going to be more of the same because people aren't keeping their covid spreading asses at home https://t.co/isAubmklTv",62196644,3,31,2020,6.0,9.0,8.0,8.0,0.0,4.0,9.0,7.0,9.0,9.0,1221,8.0,1.0,8.0,1.0,14.0,551.0
6,102,0,0,1,0,0,0,44007,0,0,0,0,0,0,1,0,0.0,likahan11,"I pledge to stay out of public spaces for two weeks. I understand the impact of #SocialDistancing and I pledge to save lives by staying home. I am sending this to you because I care about your health, and the health of those are you. Please continue the pledge tree. Thoughts?",1463675677,3,15,2020,7.0,9.0,8.0,8.0,1.0,6.0,9.0,6.0,9.0,9.0,4401,8.0,1.0,7.0,1.0,0.0,20.0
7,1021,0,0,1,0,0,0,6075,0,0,0,0,1,0,1,0,0.0,lemonadekicks,bro im sure god will forgive u if u stay home from church for a few weeks to protect yourself and others from a virus,1099436482136133632,3,31,2020,4.0,9.0,8.0,1.0,0.0,4.0,9.0,9.0,9.0,9.0,0612,7.0,1.0,6.0,1.0,6.0,397.0
8,1025,0,0,1,0,0,0,25015,0,0,0,0,0,0,1,1,0.0,sueboohunt,We are prohibited from posting anything about our hospital with regards to our coronavirus situation. So Ill just say this - we will do everything possible to save your life if you get sick. Please do everything possible to stay home until April 30th. Shits about to get real.,772918789,3,31,2020,5.0,8.0,8.0,9.0,0.0,0.0,9.0,9.0,9.0,9.0,2502,7.0,2.0,4.0,1.0,1.0,129.0
10,1030,0,0,1,0,0,0,35061,0,0,0,0,0,0,1,0,0.0,MARbobo7,"When are people gonna get it?! This is not about politics, its about saving lives and stopping the spread!! I want my normalcy back but its not going to happen if people dont stay home!!! #Corinnavirus #LetsFightCovid19 #SocialDistancing",29590077,3,31,2020,8.0,7.0,6.0,3.0,5.0,7.0,8.0,3.0,1.0,5.0,3502,6.0,2.0,9.0,0.0,0.0,5.0
11,1032,1,0,1,0,0,0,6067,0,0,0,0,0,0,1,0,0.0,mendozadino,"@SenImeeMarcos 3/30 9PM - ONLINE ROSARY &amp; DM CHAPLET PRAYER WARRIORS GROUP. THANK YOU TO ALL FRONTLINERS, HEALTH WORKERS, KEEPING US ALL SAFE AND HEALTHY PHYSICALLY AND SPIRITUALLY. HEALTHCARE urging us to stay home: they stay at work for us, please stay home for them https://t.co/u7d99S6wGB",172471790,3,31,2020,8.0,9.0,8.0,7.0,1.0,5.0,8.0,8.0,9.0,9.0,0607,8.0,1.0,7.0,1.0,7.0,224.0
